Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
8733,224.55,1961031,175.32,1531047,0.62,25.34,0.11,80.0
8768,224.96,1972446,174.72,1531984,0.62,25.32,0.11,80.0
8718,225.2,1963292,174.85,1524361,0.63,25.32,0.11,80.0
8714,224.35,1954994,175.62,1530341,0.62,25.31,0.11,80.0
8734,224.14,1957643,175.38,1531799,0.62,25.32,0.11,80.0
8688,224.6,1951305,175.71,1526582,0.62,25.33,0.12,80.0
8744,225.56,1972259,174.15,1522807,0.63,25.31,0.11,80.0
8706,225.89,1966630,175.21,1525393,0.63,25.31,0.11,80.0
8666,225.82,1956982,175.56,1521413,0.63,25.33,0.12,80.0
8800,225.69,1986046,173.15,1523709,0.62,25.32,0.11,80.0
8666,225.93,1957907,175.91,1524458,0.63,25.32,0.12,80.0
8657,225.98,1956350,175.6,1520200,0.63,25.31,0.12,80.0
8705,227.01,1976132,174.77,1521403,0.63,25.29,0.11,80.0
8725,224.97,1962852,174.68,1524120,0.62,25.32,0.11,80.0
8749,224.99,1968473,174.51,1526779,0.62,25.31,0.11,80.0
8664,224.86,1948197,175.87,1523738,0.63,25.3,0.12,80.0
8610,225.83,1944388,176.13,1516514,0.63,25.32,0.12,80.0
8807,223.51,1968482,174.31,1535121,0.62,25.32,0.11,80.0
8852,223.84,1981398,173.26,1533715,0.62,25.31,0.11,80.0
8699,226.45,1969867,174.83,1520821,0.63,25.32,0.11,80.0
8664,224.43,1944447,176.45,1528769,0.63,25.32,0.12,80.0
8792,225.13,1979332,174.17,1531332,0.62,25.32,0.11,80.0
8771,224.12,1965718,174.99,1534820,0.62,25.3,0.11,80.0
8885,221.74,1970177,174.11,1547008,0.62,25.31,0.11,80.0
8813,223.27,1967680,174.36,1536609,0.62,25.29,0.11,80.0
8722,222.53,1940903,176.12,1536118,0.62,25.32,0.11,80.0
8754,224.19,1962589,175.03,1532196,0.62,25.31,0.11,80.0
8778,223.23,1959470,175.13,1537278,0.62,25.32,0.11,80.0
8671,226.51,1964087,175.14,1518623,0.63,25.32,0.12,80.0
8732,225.48,1968850,174.79,1526295,0.63,25.3,0.11,80.0
8783,226.36,1988108,173.4,1522936,0.63,25.31,0.11,80.0
8711,225.24,1962054,175.03,1524701,0.63,25.32,0.11,80.0
8660,225.39,1951847,175.98,1523963,0.63,25.3,0.12,80.0
8602,227.7,1958658,175.83,1512451,0.63,25.3,0.12,80.0
8732,224.62,1961362,175.47,1532227,0.62,25.31,0.11,80.0
8764,225.01,1971954,174.47,1529094,0.62,25.31,0.11,80.0
8749,225.59,1973698,174.44,1526133,0.63,25.32,0.11,80.0
8645,226.65,1959408,175.85,1520253,0.63,25.32,0.12,80.0
8835,225.8,1994986,173.53,1533150,0.63,25.3,0.11,80.0
8720,226.7,1976829,174.66,1523076,0.63,25.31,0.11,80.0
8727,225.05,1963997,174.63,1524007,0.62,25.3,0.11,80.0
8833,222.36,1964108,174.4,1540468,0.62,25.29,0.11,80.0
8719,225.03,1962037,175.29,1528361,0.63,25.32,0.11,80.0
8783,225.45,1980122,174.17,1529727,0.63,25.31,0.11,80.0
8806,225.18,1982959,173.87,1531099,0.62,25.31,0.11,80.0
8610,227.01,1954551,175.9,1514465,0.63,25.31,0.12,80.0
8706,223.72,1947671,175.55,1528361,0.62,25.32,0.11,80.0
8836,223.21,1972303,174.17,1538926,0.62,25.31,0.11,80.0
8674,226.4,1963818,175.45,1521848,0.63,25.3,0.12,80.0
8786,226.01,1985723,173.79,1526919,0.63,25.33,0.11,80.0
8641,225.23,1946215,176.65,1526464,0.63,25.31,0.12,80.0
8804,224.83,1979392,173.79,1530058,0.62,25.33,0.11,80.0
8784,224.75,1974243,174.33,1531357,0.62,25.31,0.11,80.0
8781,225.07,1976339,174.4,1531426,0.62,25.32,0.11,80.0
8708,226.6,1973267,174.42,1518828,0.63,25.32,0.11,80.0
8773,223.64,1962037,174.98,1535096,0.62,25.32,0.11,80.0
8756,224.32,1964165,175.01,1532410,0.62,25.31,0.11,80.0
8575,225.68,1935246,177.59,1522814,0.63,25.32,0.12,80.0
8696,225.68,1962519,175.24,1523913,0.63,25.33,0.11,80.0
8791,223.94,1968689,174.44,1533515,0.62,25.32,0.11,80.0
8794,224.4,1973397,174.23,1532170,0.62,25.34,0.11,80.0
8772,224.78,1971807,174.61,1531683,0.62,25.31,0.11,80.0
8794,223.96,1969466,174.5,1534517,0.62,25.3,0.11,80.0
8725,227.46,1984610,174.1,1519032,0.63,25.29,0.11,80.0
8648,226.01,1954497,176.02,1522217,0.63,25.3,0.12,80.0
8724,222.68,1942626,176.02,1535595,0.62,25.29,0.11,80.0
8737,225.43,1969603,174.81,1527318,0.63,25.32,0.11,80.0
8738,224.45,1961216,174.77,1527104,0.62,25.31,0.11,80.0
8633,225.85,1949771,175.96,1519082,0.63,25.3,0.12,80.0
8665,226.07,1958893,175.69,1522356,0.63,25.3,0.12,80.0
8784,225.69,1982434,174.17,1529880,0.63,25.32,0.11,80.0
8894,223.15,1984658,173.23,1540734,0.62,25.32,0.11,80.0
8724,225.13,1964065,175.05,1527144,0.63,25.32,0.11,80.0
8752,223.99,1960354,174.96,1531260,0.62,25.31,0.11,80.0
8799,222.62,1958848,174.51,1535534,0.62,25.31,0.11,80.0
8688,225.4,1958284,175.22,1522324,0.63,25.33,0.12,80.0
8681,226.09,1962654,175.44,1523008,0.63,25.32,0.12,80.0
8660,225.35,1951562,175.82,1522619,0.63,25.33,0.12,80.0
8739,224.06,1958045,175.26,1531597,0.62,25.32,0.11,80.0
8828,225.04,1986683,173.39,1530704,0.62,25.33,0.11,80.0
8706,224.58,1955187,175.37,1526767,0.62,25.29,0.11,80.0
8683,222.74,1934041,176.68,1534117,0.62,25.31,0.12,80.0
8647,226.41,1957741,175.73,1519547,0.63,25.31,0.12,80.0
8675,225.97,1960288,175.39,1521537,0.63,25.31,0.12,80.0
8736,225.0,1965633,175.02,1528959,0.63,25.3,0.11,80.0
8714,224.48,1956144,175.29,1527487,0.62,25.3,0.11,80.0
8711,226.03,1968985,174.87,1523333,0.63,25.32,0.11,80.0
8755,225.5,1974209,174.58,1528419,0.63,25.31,0.11,80.0
8707,226.5,1972107,174.63,1520469,0.63,25.31,0.11,80.0
8694,225.09,1956925,175.4,1524963,0.63,25.3,0.12,80.0
8725,226.53,1976451,174.25,1520345,0.63,25.33,0.11,80.0
8791,223.56,1965327,174.73,1536082,0.62,25.32,0.11,80.0
8763,224.87,1970551,174.62,1530214,0.62,25.31,0.11,80.0
8888,222.88,1980987,173.22,1539569,0.62,25.31,0.11,80.0
8726,224.03,1954905,175.57,1532062,0.62,25.33,0.11,80.0
8751,224.35,1963300,174.71,1528875,0.62,25.3,0.11,80.0
8690,226.94,1972118,174.92,1520049,0.63,25.35,0.12,80.0
8610,225.47,1941261,176.38,1518607,0.63,25.31,0.12,80.0
8632,224.68,1939409,177.02,1528015,0.63,25.32,0.12,80.0
8667,225.99,1958658,175.7,1522832,0.63,25.31,0.12,80.0
8662,224.82,1947429,176.04,1524895,0.63,25.29,0.12,80.0
8775,226.0,1983163,173.83,1525345,0.63,25.32,0.11,80.0
8657,225.27,1950196,176.12,1524714,0.63,25.32,0.12,80.0
8679,224.84,1951409,176.06,1528033,0.63,25.3,0.12,80.0
8743,224.81,1965535,175.05,1530420,0.62,25.32,0.11,80.0
8688,224.2,1947863,176.03,1529389,0.62,25.32,0.12,80.0
8678,224.26,1946135,175.85,1526032,0.62,25.31,0.12,80.0
8753,225.37,1972683,174.6,1528263,0.63,25.3,0.11,80.0
8802,225.7,1986636,173.44,1526577,0.62,25.33,0.11,80.0
8731,223.74,1953482,175.41,1531508,0.62,25.3,0.11,80.0
8697,225.74,1963282,175.32,1524742,0.63,25.32,0.12,80.0
8707,224.82,1957503,175.12,1524764,0.62,25.29,0.11,80.0
8889,223.41,1985877,173.3,1540421,0.62,25.32,0.11,80.0
8824,224.17,1978050,173.61,1531918,0.62,25.31,0.11,80.0
8750,223.44,1955069,175.47,1535358,0.62,25.31,0.11,80.0
8704,225.32,1961174,175.66,1528902,0.63,25.29,0.11,80.0
8666,225.7,1955919,175.94,1524717,0.63,25.32,0.12,80.0
8785,225.4,1980101,173.91,1527796,0.62,25.3,0.11,80.0
8779,224.49,1970789,174.34,1530500,0.62,25.31,0.11,80.0
8780,224.42,1970444,174.63,1533208,0.62,25.32,0.11,80.0
8771,224.79,1971642,174.46,1530153,0.62,25.32,0.11,80.0
8715,224.19,1953832,175.67,1530975,0.62,25.31,0.11,80.0
