Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
10344,199.21,2060638,161.51,1670613,0.56,25.29,0.1,80.0
10409,200.02,2082056,160.22,1667759,0.56,25.28,0.1,80.0
10202,200.44,2044911,162.8,1660903,0.56,25.27,0.1,80.0
10284,199.21,2048716,162.45,1670596,0.56,25.28,0.1,80.0
10077,201.58,2031275,163.68,1649422,0.57,25.29,0.1,80.0
10299,197.03,2029255,163.17,1680522,0.56,25.27,0.1,80.0
10326,199.45,2059540,161.83,1671050,0.56,25.29,0.1,80.0
10288,198.49,2042057,162.38,1670557,0.56,25.27,0.1,80.0
10332,199.05,2056593,161.59,1669524,0.56,25.27,0.1,80.0
10193,200.45,2043200,162.46,1656001,0.56,25.28,0.1,80.0
10232,200.3,2049472,162.22,1659847,0.56,25.27,0.1,80.0
10115,200.95,2032592,163.75,1656325,0.57,25.3,0.1,80.0
10219,199.55,2039189,162.76,1663290,0.56,25.29,0.1,80.0
10396,199.79,2077020,160.61,1669726,0.56,25.27,0.1,80.0
10216,199.61,2039261,162.94,1664596,0.56,25.28,0.1,80.0
10230,200.17,2047734,162.19,1659204,0.56,25.28,0.1,80.0
10314,199.51,2057735,161.43,1664977,0.56,25.29,0.1,80.0
10150,200.28,2032836,163.41,1658615,0.56,25.28,0.1,80.0
10232,199.25,2038729,163.12,1669090,0.56,25.28,0.1,80.0
10183,200.44,2041096,162.92,1659050,0.56,25.28,0.1,80.0
10183,200.48,2041512,162.73,1657054,0.56,25.28,0.1,80.0
10224,200.32,2048028,162.54,1661824,0.56,25.28,0.1,80.0
10247,199.29,2042139,162.51,1665212,0.56,25.26,0.1,80.0
10157,200.1,2032454,163.42,1659824,0.56,25.28,0.1,80.0
10180,199.98,2035823,163.36,1662971,0.56,25.26,0.1,80.0
10249,199.67,2046392,162.16,1661944,0.56,25.29,0.1,80.0
10218,199.38,2037243,162.97,1665194,0.56,25.3,0.1,80.0
10264,198.78,2040315,162.5,1667865,0.56,25.27,0.1,80.0
10148,199.17,2021151,164.15,1665792,0.56,25.28,0.1,80.0
10241,200.73,2055723,162.03,1659368,0.56,25.28,0.1,80.0
10207,199.82,2039551,162.55,1659113,0.56,25.27,0.1,80.0
10210,199.4,2035899,162.9,1663166,0.56,25.28,0.1,80.0
10150,201.21,2042297,163.31,1657624,0.57,25.29,0.1,80.0
10191,199.97,2037932,162.8,1659136,0.56,25.28,0.1,80.0
10211,200.04,2042568,163.02,1664622,0.56,25.27,0.1,80.0
