Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
4428,450.92,201.67,1.1,25.55,0.23,80.0
4535,450.21,198.0,1.1,25.56,0.22,80.0
4430,451.65,201.22,1.1,25.54,0.23,79.99
4515,449.49,198.87,1.1,25.54,0.22,80.0
4489,450.13,199.53,1.1,25.56,0.22,80.0
4463,449.1,200.83,1.1,25.56,0.22,80.0
4484,447.94,200.34,1.1,25.57,0.22,79.99
4469,451.11,200.0,1.1,25.55,0.22,80.0
4511,447.45,199.4,1.09,25.52,0.22,80.0
4455,449.02,201.21,1.1,25.55,0.22,80.0
4484,449.3,199.9,1.1,25.53,0.22,80.0
4487,450.16,199.3,1.1,25.58,0.22,80.0
4457,449.57,200.82,1.1,25.55,0.22,80.0
4545,446.93,198.71,1.09,25.57,0.22,80.0
4515,449.66,198.7,1.1,25.54,0.22,80.0
4471,449.28,200.63,1.1,25.54,0.22,79.99
4469,450.35,200.16,1.1,25.54,0.22,80.0
4470,448.2,200.83,1.1,25.56,0.22,80.0
4436,450.93,201.19,1.1,25.54,0.23,80.0
4488,448.36,200.23,1.1,25.51,0.22,80.0
4520,450.83,198.19,1.1,25.52,0.22,80.0
4475,452.14,199.44,1.1,25.55,0.22,80.0
4449,451.04,200.76,1.1,25.56,0.22,79.99
4442,451.84,201.0,1.1,25.54,0.23,79.99
4506,450.36,198.94,1.1,25.55,0.22,80.0
4480,452.66,199.31,1.1,25.53,0.22,80.0
4483,450.11,199.72,1.1,25.57,0.22,80.0
4436,451.82,201.01,1.1,25.54,0.23,80.0
4519,446.12,199.36,1.09,25.56,0.22,80.0
4435,452.0,201.2,1.11,25.54,0.23,80.0
4457,450.96,200.37,1.1,25.56,0.22,80.0
4452,450.49,200.95,1.1,25.54,0.22,79.99
4465,451.3,200.06,1.1,25.54,0.22,80.0
4495,448.34,199.79,1.1,25.56,0.22,80.0
4503,450.57,198.95,1.1,25.56,0.22,80.0
4487,449.87,199.63,1.1,25.52,0.22,80.0
4466,451.13,199.79,1.1,25.54,0.22,80.0
4459,451.47,200.24,1.1,25.54,0.22,80.0
4455,451.27,200.56,1.1,25.55,0.22,79.99
4483,451.07,199.51,1.1,25.54,0.22,80.0
4447,451.96,200.56,1.1,25.55,0.22,80.0
4509,448.03,199.41,1.1,25.55,0.22,80.0
4480,449.79,200.14,1.1,25.56,0.22,79.99
4464,447.9,201.05,1.1,25.56,0.22,80.0
4499,449.21,199.43,1.1,25.56,0.22,80.0
4472,451.14,199.75,1.1,25.56,0.22,80.0
4489,450.67,199.37,1.1,25.54,0.22,79.99
4455,448.8,201.25,1.1,25.53,0.22,80.0
4507,448.42,199.51,1.1,25.54,0.22,80.0
4465,450.98,200.31,1.1,25.56,0.22,80.0
4460,449.16,200.86,1.1,25.54,0.22,80.0
4485,451.24,199.34,1.1,25.53,0.22,80.0
4485,448.68,200.1,1.1,25.53,0.22,80.0
4461,451.84,200.23,1.1,25.58,0.22,80.0
4515,449.62,198.76,1.1,25.57,0.22,80.0
4474,450.33,200.09,1.1,25.57,0.22,80.0
4440,451.9,200.92,1.1,25.58,0.23,80.0
4501,447.5,199.97,1.09,25.55,0.22,80.0
4523,447.94,198.81,1.09,25.54,0.22,79.99
4501,450.04,199.22,1.1,25.52,0.22,79.99
4460,448.01,201.24,1.1,25.54,0.22,80.0
4452,450.79,200.73,1.1,25.56,0.22,80.0
4531,449.18,198.31,1.1,25.55,0.22,80.0
4529,448.93,198.51,1.1,25.52,0.22,80.0
4467,450.67,200.11,1.1,25.56,0.22,80.0
4471,449.81,200.28,1.1,25.54,0.22,80.0
4503,448.96,199.22,1.1,25.57,0.22,80.0
4460,451.77,200.24,1.1,25.54,0.22,80.0
4487,449.02,200.07,1.1,25.54,0.22,80.0
4508,447.65,199.49,1.09,25.55,0.22,79.99
4486,448.85,199.87,1.1,25.57,0.22,80.0
4482,449.64,200.02,1.1,25.56,0.22,80.0
4439,450.5,201.15,1.1,25.55,0.23,80.0
4445,451.51,200.67,1.1,25.56,0.23,80.0
4409,452.96,201.63,1.11,25.55,0.23,80.0
4458,449.93,200.78,1.1,25.56,0.22,79.99
4487,447.95,200.3,1.1,25.54,0.22,80.0
4458,451.94,200.27,1.1,25.55,0.22,80.0
4465,450.35,200.52,1.1,25.55,0.22,79.99
