Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
8622,225.63,176.1,0.63,25.31,0.12,80.0
8868,224.05,173.26,0.62,25.3,0.11,80.0
8757,223.38,175.4,0.62,25.31,0.11,79.99
8731,224.18,175.24,0.62,25.3,0.11,80.0
8699,224.0,175.91,0.62,25.31,0.11,80.0
8765,226.05,174.24,0.63,25.31,0.11,80.0
8638,226.59,175.62,0.63,25.32,0.12,80.0
8794,225.2,174.18,0.62,25.31,0.11,80.0
8632,226.89,175.65,0.63,25.31,0.12,80.0
8777,224.93,174.27,0.62,25.31,0.11,80.0
8755,224.05,175.24,0.62,25.3,0.11,80.0
8760,223.42,175.24,0.62,25.33,0.11,80.0
8657,224.67,176.2,0.63,25.31,0.12,80.0
8719,224.52,175.55,0.62,25.32,0.11,80.0
8671,226.98,174.87,0.63,25.31,0.12,80.0
8703,224.62,175.58,0.62,25.33,0.11,80.0
8732,224.61,175.26,0.62,25.3,0.11,80.0
8666,225.99,175.68,0.63,25.31,0.12,80.0
8836,223.7,173.84,0.62,25.3,0.11,80.0
8739,224.07,175.36,0.62,25.32,0.11,80.0
8759,224.38,174.83,0.62,25.3,0.11,80.0
8726,225.19,175.0,0.63,25.3,0.11,80.0
8693,224.71,175.67,0.63,25.33,0.12,80.0
8706,226.6,174.61,0.63,25.31,0.11,80.0
8818,222.85,174.33,0.62,25.31,0.11,80.0
8694,224.42,175.84,0.62,25.32,0.12,80.0
8719,223.18,176.23,0.62,25.32,0.11,80.0
8700,226.87,174.27,0.63,25.31,0.11,80.0
8720,224.44,175.64,0.62,25.32,0.11,79.99
8698,225.19,175.58,0.63,25.31,0.11,80.0
8716,226.22,174.73,0.63,25.3,0.11,80.0
8728,225.8,174.53,0.63,25.3,0.11,80.0
8760,224.84,174.77,0.62,25.3,0.11,80.0
8825,222.61,174.36,0.62,25.3,0.11,80.0
8776,224.09,174.58,0.62,25.3,0.11,80.0
8680,227.15,175.05,0.63,25.32,0.12,80.0
8775,224.68,174.21,0.62,25.32,0.11,80.0
8654,224.37,176.57,0.63,25.31,0.12,80.0
8664,227.78,174.83,0.63,25.31,0.12,80.0
8692,226.56,174.89,0.63,25.31,0.12,80.0
8760,225.32,174.24,0.62,25.3,0.11,80.0
8725,224.85,175.17,0.62,25.31,0.11,80.0
8799,223.57,174.57,0.62,25.31,0.11,80.0
8728,223.58,175.65,0.62,25.31,0.11,80.0
8768,223.07,175.48,0.62,25.28,0.11,80.0
8781,224.94,174.1,0.62,25.32,0.11,80.0
8612,227.36,176.02,0.63,25.33,0.12,80.0
8671,226.13,175.57,0.63,25.32,0.12,80.0
8740,225.36,174.68,0.63,25.3,0.11,80.0
8684,226.36,175.18,0.63,25.3,0.12,80.0
8716,225.59,174.92,0.63,25.31,0.11,80.0
8716,226.33,174.27,0.63,25.3,0.11,80.0
8635,226.88,175.43,0.63,25.31,0.12,80.0
8640,225.99,176.02,0.63,25.3,0.12,80.0
8721,224.22,175.49,0.62,25.32,0.11,80.0
8695,225.3,175.44,0.63,25.3,0.12,80.0
8688,224.1,176.11,0.62,25.31,0.12,80.0
8715,226.14,174.7,0.63,25.32,0.11,80.0
8700,225.96,175.36,0.63,25.29,0.11,80.0
8753,225.16,174.57,0.62,25.31,0.11,80.0
8806,225.61,173.28,0.62,25.32,0.11,80.0
8802,223.35,174.46,0.62,25.3,0.11,80.0
8720,225.02,174.83,0.62,25.32,0.11,80.0
8726,224.15,175.26,0.62,25.31,0.11,80.0
8723,226.89,174.43,0.63,25.32,0.11,80.0
8765,223.32,174.77,0.62,25.3,0.11,80.0
8705,225.6,175.36,0.63,25.32,0.11,80.0
8645,223.91,176.6,0.62,25.33,0.12,80.0
8718,224.6,175.41,0.62,25.3,0.11,80.0
8732,223.48,175.52,0.62,25.31,0.11,80.0
8821,224.6,173.92,0.62,25.33,0.11,80.0
8781,225.58,173.91,0.63,25.32,0.11,80.0
8811,226.63,172.81,0.63,25.31,0.11,80.0
8816,223.85,173.92,0.62,25.32,0.11,80.0
8759,221.94,175.58,0.62,25.31,0.11,80.0
8813,225.01,173.86,0.62,25.29,0.11,80.0
8722,224.94,174.81,0.62,25.32,0.11,80.0
8818,223.87,174.05,0.62,25.31,0.11,80.0
8728,225.45,174.69,0.63,25.33,0.11,80.0
8743,225.24,174.74,0.63,25.31,0.11,80.0
8698,224.94,175.44,0.63,25.33,0.11,80.0
8670,224.71,175.82,0.63,25.32,0.12,80.0
8759,225.51,174.17,0.63,25.31,0.11,80.0
8686,224.81,175.68,0.63,25.31,0.12,80.0
8635,224.91,176.22,0.63,25.3,0.12,80.0
8786,223.29,175.12,0.62,25.28,0.11,80.0
8584,226.82,176.26,0.63,25.34,0.12,80.0
8632,224.57,176.64,0.63,25.31,0.12,80.0
8726,226.27,174.33,0.63,25.3,0.11,80.0
8794,224.08,174.51,0.62,25.32,0.11,80.0
8742,226.33,174.13,0.63,25.33,0.11,80.0
8689,225.64,175.25,0.63,25.31,0.12,80.0
8776,225.58,174.24,0.63,25.3,0.11,80.0
