Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1114,99.62,849.55,1.05,25.56,0.9,79.99
1121,98.87,847.03,1.04,25.48,0.89,79.99
1113,98.38,850.56,1.05,25.54,0.9,80.0
1117,99.09,848.37,1.05,25.49,0.9,80.0
1098,101.95,854.25,1.06,25.53,0.91,79.98
1114,99.76,849.19,1.05,25.49,0.9,79.99
1116,100.72,847.11,1.05,25.49,0.9,80.0
1101,100.63,853.95,1.06,25.52,0.91,80.0
1099,100.4,854.92,1.06,25.5,0.91,79.99
1111,99.75,850.21,1.05,25.56,0.9,80.0
1124,100.46,844.5,1.05,25.53,0.89,79.99
1111,100.74,849.51,1.05,25.59,0.9,80.0
1095,100.52,856.64,1.06,25.52,0.91,80.0
1119,100.65,846.3,1.05,25.5,0.89,80.0
1125,99.91,844.29,1.04,25.53,0.89,80.0
1117,100.81,847.0,1.05,25.53,0.9,79.99
1100,100.92,854.02,1.06,25.55,0.91,79.99
1121,100.11,845.74,1.05,25.57,0.89,80.0
1107,100.14,852.19,1.05,25.5,0.9,79.98
1114,101.08,848.04,1.05,25.52,0.9,79.99
1112,100.09,849.96,1.05,25.52,0.9,79.99
1118,98.84,848.04,1.05,25.57,0.89,80.0
1106,100.4,852.03,1.05,25.55,0.9,80.0
1115,100.83,847.73,1.05,25.52,0.9,79.99
1107,98.58,853.73,1.05,25.52,0.9,79.98
1116,101.69,846.64,1.05,25.54,0.9,79.99
1114,98.82,850.29,1.05,25.53,0.9,79.99
1119,100.42,846.71,1.05,25.52,0.89,79.99
1106,100.25,852.21,1.05,25.48,0.9,79.99
1109,99.16,851.97,1.05,25.52,0.9,80.0
1121,99.06,846.81,1.04,25.52,0.89,80.0
1112,100.06,849.42,1.05,25.52,0.9,80.0
1114,100.98,848.37,1.05,25.52,0.9,79.98
1118,99.33,848.07,1.05,25.54,0.9,79.98
1108,100.44,851.13,1.05,25.48,0.9,79.99
1115,100.24,848.55,1.05,25.52,0.9,79.98
1117,99.31,848.4,1.05,25.48,0.9,79.99
1110,98.08,852.3,1.05,25.52,0.9,80.0
1115,100.64,847.87,1.05,25.49,0.9,80.0
1113,100.8,848.6,1.05,25.53,0.9,79.99
1119,99.99,846.95,1.05,25.57,0.89,79.99
1114,98.57,850.44,1.05,25.57,0.9,79.99
1111,100.98,849.53,1.05,25.51,0.9,79.99
1112,100.03,849.92,1.05,25.56,0.9,80.0
1121,100.3,845.8,1.05,25.51,0.89,79.99
1120,100.35,846.6,1.05,25.48,0.89,79.98
1100,100.72,854.41,1.06,25.56,0.91,79.99
1110,101.27,849.48,1.05,25.55,0.9,79.99
1108,101.11,850.63,1.05,25.51,0.9,79.99
1113,99.9,849.31,1.05,25.54,0.9,80.0
1118,100.13,847.26,1.05,25.56,0.9,79.99
1108,99.95,851.63,1.05,25.47,0.9,80.0
