Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
12054,99.54,199.6,0.4,25.2,0.08,80.0
12036,100.06,199.59,0.4,25.21,0.08,80.0
12014,99.98,199.87,0.4,25.19,0.08,80.0
12070,99.81,199.29,0.4,25.21,0.08,80.0
12056,99.61,199.56,0.4,25.2,0.08,80.0
11954,100.38,200.33,0.4,25.19,0.08,80.0
12077,99.91,199.17,0.4,25.21,0.08,80.0
12016,100.29,199.67,0.4,25.2,0.08,80.0
12004,99.76,200.1,0.4,25.2,0.08,80.0
12025,99.93,199.76,0.4,25.2,0.08,80.0
11969,100.37,200.07,0.4,25.22,0.08,80.0
11995,100.14,199.89,0.4,25.2,0.08,80.0
11931,99.96,200.75,0.4,25.21,0.08,80.0
11978,100.17,200.2,0.4,25.2,0.08,80.0
12038,100.43,199.33,0.4,25.2,0.08,80.0
11939,100.37,200.47,0.4,25.21,0.08,80.0
11987,100.28,199.94,0.4,25.2,0.08,80.0
12087,99.94,198.96,0.4,25.2,0.08,80.0
11997,99.86,200.07,0.4,25.22,0.08,80.0
12045,100.2,199.27,0.4,25.22,0.08,80.0
11985,100.19,200.02,0.4,25.19,0.08,80.0
12004,99.94,199.99,0.4,25.2,0.08,80.0
11980,100.09,200.14,0.4,25.18,0.08,80.0
11985,99.87,200.17,0.4,25.2,0.08,80.0
11940,99.96,200.57,0.4,25.19,0.08,80.0
11866,99.91,201.56,0.4,25.2,0.08,80.0
11940,100.05,200.64,0.4,25.19,0.08,80.0
12042,99.87,199.73,0.4,25.2,0.08,80.0
12053,100.21,199.33,0.4,25.2,0.08,80.0
11970,100.08,200.27,0.4,25.2,0.08,80.0
12072,99.79,199.44,0.4,25.2,0.08,80.0
11956,99.51,201.0,0.4,25.2,0.08,80.0
11965,100.31,200.28,0.4,25.22,0.08,80.0
12010,99.78,200.05,0.4,25.21,0.08,80.0
11997,99.93,200.1,0.4,25.19,0.08,80.0
11963,100.12,200.4,0.4,25.19,0.08,80.0
11985,100.03,200.14,0.4,25.19,0.08,80.0
12055,99.93,199.4,0.4,25.19,0.08,80.0
11994,99.98,200.0,0.4,25.19,0.08,80.0
12023,99.76,199.85,0.4,25.21,0.08,80.0
12085,99.75,199.09,0.4,25.2,0.08,80.0
12061,100.21,199.17,0.4,25.19,0.08,80.0
11990,99.96,200.18,0.4,25.19,0.08,80.0
11960,100.14,200.32,0.4,25.19,0.08,80.0
12014,99.96,199.9,0.4,25.21,0.08,80.0
12017,100.26,199.73,0.4,25.21,0.08,80.0
12028,99.82,199.82,0.4,25.19,0.08,80.0
11988,99.94,200.23,0.4,25.2,0.08,80.0
11949,100.31,200.35,0.4,25.22,0.08,80.0
12018,99.69,200.02,0.4,25.21,0.08,80.0
11973,99.7,200.6,0.4,25.21,0.08,80.0
12011,100.07,199.9,0.4,25.21,0.08,80.0
11967,100.21,200.11,0.4,25.19,0.08,80.0
12022,99.81,199.77,0.4,25.22,0.08,80.0
11899,100.02,201.11,0.4,25.19,0.08,80.0
12035,100.09,199.57,0.4,25.19,0.08,80.0
11926,100.29,200.62,0.4,25.2,0.08,80.0
11993,99.86,200.19,0.4,25.2,0.08,80.0
12030,99.87,199.82,0.4,25.2,0.08,80.0
11943,99.96,200.7,0.4,25.21,0.08,80.0
11961,99.93,200.28,0.4,25.21,0.08,80.0
11974,100.37,200.16,0.4,25.2,0.08,80.0
12068,99.79,199.38,0.4,25.2,0.08,80.0
11936,100.66,200.4,0.4,25.2,0.08,80.0
12020,99.84,199.86,0.4,25.2,0.08,80.0
12080,100.05,199.09,0.4,25.21,0.08,80.0
11979,100.11,200.17,0.4,25.19,0.08,80.0
12064,99.44,199.49,0.4,25.19,0.08,80.0
12059,100.29,199.17,0.4,25.2,0.08,80.0
11983,100.08,200.25,0.4,25.2,0.08,80.0
11962,100.32,200.21,0.4,25.19,0.08,80.0
12027,99.58,199.98,0.4,25.19,0.08,80.0
11962,100.32,200.31,0.4,25.2,0.08,80.0
11965,99.92,200.5,0.4,25.19,0.08,80.0
11970,100.47,200.02,0.4,25.2,0.08,80.0
12025,99.7,200.0,0.4,25.21,0.08,80.0
11921,100.42,200.58,0.4,25.19,0.08,80.0
12007,100.17,199.91,0.4,25.2,0.08,80.0
11966,100.38,200.14,0.4,25.19,0.08,80.0
11900,100.02,201.16,0.4,25.2,0.08,80.0
12073,100.02,199.05,0.4,25.19,0.08,80.0
12052,99.65,199.67,0.4,25.2,0.08,80.0
12027,99.81,199.99,0.4,25.19,0.08,80.0
11995,99.51,200.33,0.4,25.18,0.08,80.0
12042,99.73,199.77,0.4,25.19,0.08,80.0
12040,99.6,199.81,0.4,25.18,0.08,80.0
12005,100.19,199.9,0.4,25.2,0.08,80.0
12013,99.99,199.81,0.4,25.21,0.08,80.0
11981,100.03,200.28,0.4,25.21,0.08,80.0
12055,99.52,199.69,0.4,25.19,0.08,80.0
12007,100.2,199.75,0.4,25.18,0.08,80.0
12020,100.07,199.84,0.4,25.19,0.08,80.0
11979,99.91,200.36,0.4,25.2,0.08,80.0
12056,100.24,199.3,0.4,25.19,0.08,80.0
11994,99.42,200.42,0.4,25.19,0.08,80.0
12098,99.74,199.09,0.4,25.2,0.08,80.0
12035,99.96,199.53,0.4,25.2,0.08,80.0
12053,99.96,199.53,0.4,25.21,0.08,80.0
11967,99.88,200.52,0.4,25.2,0.08,80.0
11976,100.08,200.24,0.4,25.19,0.08,80.0
11911,100.16,200.87,0.4,25.21,0.08,80.0
11922,99.82,201.08,0.4,25.19,0.08,80.0
11963,100.22,200.26,0.4,25.19,0.08,80.0
11997,100.06,200.01,0.4,25.21,0.08,80.0
12039,100.03,199.46,0.4,25.21,0.08,80.0
11925,100.25,200.62,0.4,25.21,0.08,80.0
11988,100.37,199.84,0.4,25.18,0.08,80.0
12045,99.84,199.62,0.4,25.2,0.08,80.0
12038,100.09,199.55,0.4,25.21,0.08,80.0
12027,99.75,199.93,0.4,25.22,0.08,80.0
12003,99.93,200.1,0.4,25.19,0.08,80.0
12060,99.71,199.4,0.4,25.2,0.08,80.0
12004,99.75,200.03,0.4,25.19,0.08,80.0
12052,99.93,199.51,0.4,25.21,0.08,80.0
11949,99.73,200.9,0.4,25.21,0.08,80.0
12019,100.06,199.79,0.4,25.19,0.08,80.0
11992,100.16,200.15,0.4,25.19,0.08,80.0
12019,100.11,199.77,0.4,25.2,0.08,80.0
11991,100.19,199.95,0.4,25.2,0.08,80.0
11983,99.91,200.29,0.4,25.19,0.08,80.0
11927,100.47,200.55,0.4,25.23,0.08,80.0
12008,100.23,199.78,0.4,25.22,0.08,80.0
12046,100.23,199.48,0.4,25.2,0.08,80.0
11988,100.27,200.0,0.4,25.19,0.08,80.0
12004,100.1,199.96,0.4,25.18,0.08,80.0
11984,99.87,200.33,0.4,25.19,0.08,80.0
12059,100.18,199.25,0.4,25.2,0.08,80.0
11973,100.28,200.17,0.4,25.2,0.08,80.0
11962,99.88,200.38,0.4,25.19,0.08,80.0
11958,100.07,200.37,0.4,25.19,0.08,80.0
11996,100.32,199.9,0.4,25.2,0.08,80.0
11984,100.1,200.15,0.4,25.21,0.08,80.0
11964,100.04,200.38,0.4,25.21,0.08,80.0
12013,99.95,199.79,0.4,25.21,0.08,80.0
12038,99.57,199.87,0.4,25.21,0.08,80.0
11975,100.11,200.17,0.4,25.2,0.08,80.0
11995,99.76,200.27,0.4,25.18,0.08,80.0
12066,99.77,199.39,0.4,25.19,0.08,80.0
11949,100.36,200.39,0.4,25.21,0.08,80.0
12039,99.63,199.76,0.4,25.21,0.08,80.0
12010,99.99,199.99,0.4,25.2,0.08,80.0
12050,99.59,199.64,0.4,25.21,0.08,80.0
12102,99.47,199.23,0.4,25.2,0.08,80.0
12081,100.2,199.01,0.4,25.2,0.08,80.0
11981,99.7,200.46,0.4,25.2,0.08,80.0
12042,100.23,199.34,0.4,25.2,0.08,80.0
12007,99.91,200.13,0.4,25.2,0.08,80.0
12002,100.1,200.03,0.4,25.22,0.08,80.0
12034,100.01,199.62,0.4,25.21,0.08,80.0
11950,100.46,200.2,0.4,25.19,0.08,80.0
11933,100.36,200.52,0.4,25.19,0.08,80.0
11896,100.25,201.04,0.4,25.21,0.08,80.0
12058,99.74,199.47,0.4,25.19,0.08,80.0
12074,100.0,199.21,0.4,25.21,0.08,80.0
11927,100.06,200.78,0.4,25.2,0.08,80.0
12023,100.01,199.63,0.4,25.22,0.08,80.0
11975,100.48,199.99,0.4,25.2,0.08,80.0
12062,99.66,199.61,0.4,25.22,0.08,80.0
11978,100.04,200.26,0.4,25.21,0.08,80.0
11926,99.96,201.02,0.4,25.2,0.08,80.0
11946,100.48,200.34,0.4,25.21,0.08,80.0
11987,100.14,200.16,0.4,25.22,0.08,80.0
12053,100.02,199.47,0.4,25.2,0.08,80.0
11979,99.82,200.38,0.4,25.19,0.08,80.0
12047,100.2,199.35,0.4,25.2,0.08,80.0
11947,99.79,200.73,0.4,25.2,0.08,80.0
12008,99.97,199.95,0.4,25.2,0.08,80.0
11950,100.21,200.41,0.4,25.2,0.08,80.0
11958,100.69,200.04,0.4,25.2,0.08,80.0
11939,100.13,200.59,0.4,25.21,0.08,80.0
12049,100.15,199.42,0.4,25.23,0.08,80.0
11967,100.31,200.19,0.4,25.21,0.08,80.0
12009,99.52,200.19,0.4,25.19,0.08,80.0
12058,99.64,199.64,0.4,25.2,0.08,80.0
12047,100.2,199.35,0.4,25.2,0.08,80.0
12020,99.61,199.94,0.4,25.2,0.08,80.0
12007,99.76,200.01,0.4,25.21,0.08,80.0
12032,100.07,199.66,0.4,25.2,0.08,80.0
12043,100.14,199.4,0.4,25.2,0.08,80.0
12004,99.93,199.97,0.4,25.21,0.08,80.0
12013,100.03,199.82,0.4,25.19,0.08,80.0
11971,99.8,200.46,0.4,25.2,0.08,80.0
12021,99.8,199.96,0.4,25.19,0.08,80.0
12046,100.22,199.33,0.4,25.22,0.08,80.0
12037,99.8,199.7,0.4,25.2,0.08,80.0
12061,100.13,199.25,0.4,25.19,0.08,80.0
11961,100.01,200.38,0.4,25.2,0.08,80.0
12080,100.39,198.84,0.4,25.19,0.08,80.0
12061,100.29,199.11,0.4,25.2,0.08,80.0
11984,100.3,200.04,0.4,25.19,0.08,80.0
12025,100.28,199.55,0.4,25.2,0.08,80.0
12035,100.14,199.43,0.4,25.21,0.08,80.0
12015,100.48,199.43,0.4,25.21,0.08,80.0
12056,100.45,199.03,0.4,25.21,0.08,80.0
11997,100.56,199.69,0.4,25.21,0.08,80.0
12066,99.85,199.5,0.4,25.19,0.08,80.0
12029,100.13,199.63,0.4,25.19,0.08,80.0
12011,99.42,200.29,0.4,25.21,0.08,80.0
11914,100.23,200.79,0.4,25.19,0.08,80.0
11940,100.03,200.64,0.4,25.21,0.08,80.0
