Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
677,445.19,846.96,1.74,25.75,1.48,79.99
669,454.38,847.64,1.76,25.81,1.5,79.98
674,447.01,847.54,1.74,25.9,1.48,79.99
665,453.1,851.97,1.76,25.85,1.51,79.98
667,449.22,852.84,1.75,25.87,1.5,79.98
671,448.46,849.81,1.75,25.88,1.49,79.98
668,449.88,851.52,1.75,25.83,1.5,79.99
668,449.12,851.44,1.75,25.94,1.5,79.99
670,451.12,848.8,1.75,25.88,1.49,79.98
666,446.0,855.91,1.75,25.89,1.5,79.96
672,451.72,846.17,1.75,25.84,1.49,80.0
662,449.92,856.79,1.76,25.96,1.51,79.97
665,453.38,851.83,1.76,25.8,1.51,79.97
671,449.28,849.03,1.75,25.85,1.49,79.99
671,447.88,850.39,1.75,25.86,1.49,79.97
667,455.35,848.92,1.76,25.83,1.5,79.98
668,449.51,851.55,1.75,25.87,1.5,79.98
672,445.58,851.77,1.74,25.93,1.49,79.96
677,445.19,847.15,1.74,25.88,1.48,79.97
669,450.9,849.76,1.75,25.84,1.5,79.99
666,457.36,848.12,1.76,25.92,1.5,79.99
670,451.28,848.6,1.75,25.84,1.49,79.99
670,453.61,847.45,1.75,25.87,1.49,79.97
672,442.4,852.54,1.74,25.86,1.49,79.98
674,447.46,847.35,1.74,25.89,1.48,79.99
672,450.03,848.11,1.75,25.93,1.49,79.97
667,449.17,852.45,1.75,25.9,1.5,79.98
670,449.4,849.43,1.75,25.83,1.49,79.99
664,450.64,854.0,1.76,25.87,1.51,79.99
672,449.04,848.14,1.75,25.91,1.49,79.98
676,438.04,852.32,1.73,25.9,1.48,79.98
679,444.85,845.36,1.74,25.86,1.47,79.98
667,448.21,853.02,1.75,25.95,1.5,79.99
671,448.47,850.19,1.75,25.81,1.49,79.97
668,452.02,850.4,1.75,25.86,1.5,79.97
666,452.2,851.72,1.76,25.86,1.5,79.98
660,458.17,853.29,1.77,25.85,1.52,79.98
676,447.88,846.47,1.74,25.88,1.48,79.98
666,447.04,854.51,1.75,25.86,1.5,79.99
660,452.84,856.33,1.76,25.93,1.52,79.98
667,454.23,849.32,1.76,25.95,1.5,79.99
673,451.33,846.24,1.75,25.85,1.49,79.98
671,453.91,846.78,1.75,25.89,1.49,79.98
665,447.84,854.46,1.75,25.79,1.5,80.0
674,446.52,848.6,1.74,25.88,1.49,79.97
666,449.74,852.89,1.75,25.91,1.5,80.0
674,446.25,848.4,1.74,25.87,1.48,79.99
670,449.69,850.24,1.75,25.84,1.49,79.98
669,451.09,849.25,1.75,25.84,1.5,80.0
659,456.56,855.18,1.77,25.84,1.52,79.98
669,448.5,850.96,1.75,25.83,1.49,80.0
664,458.12,849.37,1.77,25.91,1.51,79.97
677,442.55,847.79,1.73,25.93,1.48,79.99
671,450.57,848.69,1.75,25.89,1.49,79.98
670,448.58,850.18,1.75,25.86,1.49,79.98
677,449.42,843.89,1.74,25.83,1.48,79.98
674,448.54,846.74,1.74,25.86,1.48,80.0
669,447.4,851.95,1.75,25.83,1.5,80.0
675,443.93,849.29,1.74,25.86,1.48,79.98
663,450.74,855.98,1.76,25.87,1.51,79.97
671,449.45,848.92,1.75,25.88,1.49,79.99
670,451.71,848.8,1.75,25.89,1.49,79.98
668,453.01,848.7,1.75,25.89,1.5,79.99
669,449.25,850.52,1.75,25.95,1.49,80.0
668,447.33,853.0,1.75,25.94,1.5,79.97
674,450.67,846.2,1.75,25.89,1.49,79.97
666,450.98,851.98,1.75,25.95,1.5,79.99
670,448.59,850.81,1.75,25.88,1.49,79.97
672,448.06,849.33,1.75,25.88,1.49,79.98
668,453.78,848.77,1.76,25.88,1.5,79.99
670,447.86,851.9,1.75,25.86,1.49,79.97
668,450.89,850.37,1.75,25.85,1.5,80.0
663,452.46,853.8,1.76,25.82,1.51,79.98
665,456.73,849.43,1.76,25.92,1.51,79.98
660,457.1,853.19,1.77,25.88,1.52,79.99
674,447.26,847.69,1.74,25.83,1.48,79.99
664,454.62,851.47,1.76,25.93,1.51,79.99
671,447.41,850.01,1.74,25.88,1.49,79.99
667,449.03,852.54,1.75,25.9,1.5,79.99
672,451.38,846.96,1.75,25.91,1.49,79.97
671,450.31,848.36,1.75,25.78,1.49,79.99
673,448.34,847.68,1.74,25.77,1.49,79.99
663,453.16,854.07,1.76,25.91,1.51,79.97
669,451.41,849.35,1.75,25.82,1.5,79.98
669,453.93,848.37,1.76,25.84,1.5,79.96
671,453.57,846.66,1.75,25.95,1.49,79.98
667,449.05,853.29,1.75,25.85,1.5,79.97
684,444.91,840.79,1.73,25.87,1.46,80.0
