Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
6614,322.51,2133094,175.98,1163908,0.82,25.41,0.15,80.0
6713,324.24,2176621,173.59,1165304,0.82,25.43,0.15,79.99
6786,322.27,2186940,172.62,1171389,0.82,25.42,0.15,80.0
6710,326.1,2188106,172.98,1160714,0.83,25.4,0.15,80.0
6639,324.43,2153874,175.31,1163897,0.82,25.4,0.15,80.0
6682,324.92,2171122,174.41,1165427,0.82,25.39,0.15,80.0
6713,322.55,2165289,174.27,1169852,0.82,25.42,0.15,79.99
6503,330.01,2146054,176.1,1145147,0.84,25.43,0.15,80.0
6743,319.78,2156260,174.74,1178303,0.81,25.41,0.15,80.0
6730,319.05,2147201,175.22,1179215,0.81,25.39,0.15,80.0
6738,325.72,2194708,172.8,1164351,0.82,25.43,0.15,79.99
6723,321.63,2162332,174.25,1171498,0.82,25.39,0.15,80.0
6692,321.49,2151389,174.9,1170401,0.82,25.4,0.15,79.99
6780,321.94,2182784,173.0,1172924,0.82,25.38,0.15,80.0
6644,326.19,2167233,174.09,1156671,0.83,25.42,0.15,80.0
6636,324.79,2155287,174.96,1161010,0.82,25.4,0.15,80.0
6592,326.13,2149834,174.93,1153144,0.83,25.41,0.15,80.0
6669,324.33,2162939,174.95,1166751,0.82,25.42,0.15,80.0
6602,326.43,2155096,175.21,1156744,0.83,25.43,0.15,80.0
6686,324.77,2171429,173.73,1161591,0.82,25.41,0.15,80.0
6687,321.0,2146504,175.43,1173116,0.82,25.43,0.15,80.0
6747,326.37,2202048,172.03,1160677,0.82,25.41,0.15,80.0
6662,323.75,2156812,174.7,1163843,0.82,25.41,0.15,80.0
6691,323.75,2166230,174.36,1166673,0.82,25.41,0.15,80.0
6645,323.98,2152825,174.82,1161701,0.82,25.41,0.15,80.0
6631,325.71,2159810,174.67,1158246,0.83,25.42,0.15,80.0
6771,321.6,2177562,173.04,1171661,0.82,25.42,0.15,79.99
6589,326.06,2148406,175.51,1156464,0.83,25.42,0.15,79.99
6679,323.12,2158113,174.92,1168263,0.82,25.42,0.15,80.0
6630,324.76,2153126,175.52,1163709,0.83,25.41,0.15,80.0
6654,327.3,2177823,173.88,1156980,0.83,25.4,0.15,80.0
6695,321.76,2154184,174.58,1168846,0.82,25.42,0.15,80.0
6614,326.91,2162213,174.65,1155111,0.83,25.4,0.15,79.99
6644,324.81,2158049,175.23,1164217,0.82,25.42,0.15,80.0
6656,325.23,2164729,174.26,1159866,0.82,25.41,0.15,80.0
6699,321.87,2156219,174.74,1170591,0.82,25.38,0.15,80.0
6622,324.19,2146795,175.75,1163840,0.82,25.41,0.15,80.0
6640,323.97,2151132,175.29,1163911,0.82,25.39,0.15,80.0
6639,325.92,2163791,174.83,1160673,0.83,25.41,0.15,80.0
6727,321.73,2164287,173.77,1168920,0.82,25.43,0.15,80.0
6596,326.27,2152076,175.21,1155662,0.83,25.42,0.15,80.0
6689,322.56,2157599,174.83,1169417,0.82,25.42,0.15,80.0
6664,323.67,2156963,174.74,1164487,0.82,25.4,0.15,80.0
6727,322.17,2167215,174.06,1170891,0.82,25.4,0.15,80.0
6610,322.43,2131279,176.47,1166436,0.82,25.42,0.15,80.0
6637,325.01,2157101,175.21,1162899,0.83,25.42,0.15,80.0
6683,325.22,2173420,173.6,1160187,0.82,25.41,0.15,80.0
6655,323.72,2154328,174.72,1162794,0.82,25.4,0.15,79.99
