Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1075,799.96,450.3,2.05,26.06,0.93,80.0
1076,797.72,450.51,2.05,25.98,0.93,79.99
1065,810.95,450.15,2.07,26.02,0.94,80.0
1084,797.28,448.05,2.04,26.02,0.92,79.99
1064,799.57,454.64,2.05,26.03,0.94,79.99
1078,804.69,447.84,2.06,26.01,0.93,79.99
1068,803.71,450.84,2.06,26.1,0.94,79.99
1071,801.01,450.65,2.05,26.02,0.93,80.0
1081,802.04,447.64,2.05,26.07,0.93,79.99
1077,797.33,450.69,2.05,26.02,0.93,80.0
1076,796.37,451.34,2.04,26.03,0.93,79.98
1081,799.29,448.45,2.05,26.05,0.93,80.0
1082,798.15,448.61,2.04,26.04,0.92,79.99
1060,802.03,454.84,2.06,25.99,0.94,80.0
1073,801.94,449.83,2.05,26.06,0.93,80.0
1076,799.48,449.93,2.05,26.09,0.93,80.0
1077,797.54,449.86,2.04,26.02,0.93,79.99
1086,791.85,449.27,2.03,25.98,0.92,80.0
1079,798.33,449.62,2.05,26.03,0.93,79.99
1075,805.35,448.26,2.06,26.05,0.93,80.0
1073,798.24,451.5,2.05,26.05,0.93,79.99
1069,802.13,451.46,2.06,26.09,0.94,79.97
1074,801.27,450.19,2.05,26.02,0.93,80.0
1074,801.2,449.99,2.05,26.02,0.93,79.99
1072,799.74,451.58,2.05,26.03,0.93,79.99
1080,798.57,449.32,2.05,26.04,0.93,79.99
1070,804.05,450.48,2.06,26.02,0.93,79.99
1083,792.39,449.97,2.03,26.08,0.92,80.0
1076,797.4,450.52,2.05,26.01,0.93,80.0
1077,801.81,449.18,2.05,26.02,0.93,79.99
1093,794.94,446.54,2.04,26.02,0.92,79.99
1081,794.12,450.94,2.04,26.06,0.93,79.98
1071,803.76,450.17,2.06,26.04,0.93,80.0
1080,797.93,449.01,2.04,26.09,0.93,79.98
1074,805.11,448.99,2.06,26.06,0.93,79.99
1073,798.58,451.04,2.05,25.98,0.93,80.0
1091,798.98,444.85,2.04,26.02,0.92,80.0
1086,796.62,447.63,2.04,26.06,0.92,80.0
1078,804.91,447.48,2.06,26.03,0.93,79.99
1076,804.0,448.36,2.06,26.06,0.93,79.99
1068,796.59,453.86,2.05,25.96,0.94,79.99
1087,797.18,447.34,2.04,26.07,0.92,79.98
1076,800.1,449.67,2.05,26.01,0.93,79.99
1072,795.68,452.94,2.04,26.08,0.93,79.98
1064,801.76,453.53,2.06,26.02,0.94,79.99
1063,803.83,453.38,2.06,26.05,0.94,79.99
1079,795.65,450.25,2.04,26.07,0.93,80.0
1063,802.04,453.33,2.06,26.11,0.94,79.99
1074,806.4,448.76,2.06,26.02,0.93,79.98
1069,800.63,452.11,2.05,26.04,0.94,80.0
1061,801.25,454.32,2.06,26.0,0.94,79.99
1067,804.81,451.03,2.06,26.02,0.94,80.0
1088,794.95,448.49,2.04,26.0,0.92,79.98
1071,797.61,452.19,2.05,26.01,0.93,79.99
1092,801.76,443.79,2.05,26.04,0.92,79.99
1077,795.15,451.57,2.04,26.04,0.93,79.99
1086,799.89,446.54,2.05,25.98,0.92,80.0
1085,795.17,447.97,2.04,25.99,0.92,79.99
1086,799.91,446.5,2.05,26.07,0.92,79.99
1083,793.9,449.69,2.04,25.98,0.92,79.99
1079,797.54,449.65,2.04,25.96,0.93,79.99
1079,796.56,449.84,2.04,26.0,0.93,80.0
1076,805.75,447.94,2.06,26.06,0.93,80.0
1059,797.33,456.95,2.05,25.98,0.94,79.99
1072,801.22,450.86,2.05,26.07,0.93,80.0
1074,798.12,451.04,2.05,25.98,0.93,79.99
1086,801.16,446.2,2.05,25.98,0.92,80.0
1070,803.19,451.13,2.06,26.02,0.94,79.99
1079,797.2,449.38,2.04,26.04,0.93,79.98
1083,801.63,446.39,2.05,26.04,0.92,79.98
1081,794.8,450.16,2.04,26.01,0.93,80.0
1074,801.97,449.64,2.05,26.0,0.93,79.99
1063,804.5,452.8,2.06,26.05,0.94,79.99
1078,802.83,448.75,2.05,26.02,0.93,79.99
1078,804.32,447.9,2.06,26.05,0.93,79.99
1093,798.61,444.81,2.04,26.06,0.91,80.0
1076,797.54,450.64,2.05,26.03,0.93,79.99
1069,805.11,450.62,2.06,26.07,0.94,79.99
1072,796.18,452.26,2.04,25.99,0.93,80.0
1086,792.42,449.19,2.03,26.0,0.92,79.99
1064,799.13,454.3,2.05,26.0,0.94,80.0
1078,792.64,451.92,2.04,25.99,0.93,79.98
1090,794.14,447.31,2.04,26.02,0.92,79.98
1075,796.44,451.7,2.04,26.06,0.93,80.0
1078,795.15,450.65,2.04,26.02,0.93,79.99
1074,803.5,449.33,2.06,26.06,0.93,79.99
1066,800.82,453.28,2.05,26.01,0.94,80.0
1070,802.14,451.03,2.06,26.03,0.94,79.99
1064,803.41,453.21,2.06,26.01,0.94,79.98
1072,794.33,453.32,2.04,26.06,0.93,79.99
1072,801.51,450.83,2.05,25.96,0.93,79.98
1077,795.92,451.42,2.04,26.0,0.93,79.99
1072,800.97,450.84,2.05,26.05,0.93,79.98
1076,798.7,450.3,2.05,26.01,0.93,80.0
1073,801.61,450.31,2.05,26.02,0.93,79.99
1083,802.15,447.19,2.05,26.07,0.92,79.98
1076,802.29,449.3,2.05,26.05,0.93,79.99
1081,796.21,449.25,2.04,26.02,0.93,79.99
1077,797.86,450.38,2.05,26.04,0.93,79.99
1083,797.39,448.26,2.04,26.03,0.92,79.99
1075,794.23,452.62,2.04,26.03,0.93,79.99
1073,803.6,449.49,2.06,25.99,0.93,80.0
1085,797.77,447.95,2.04,26.1,0.92,79.98
1075,802.34,449.45,2.05,25.98,0.93,79.99
1088,796.74,446.95,2.04,26.0,0.92,79.99
1064,802.88,453.25,2.06,26.0,0.94,79.99
1066,800.79,452.65,2.05,26.03,0.94,80.0
1085,799.08,447.49,2.05,26.01,0.92,80.0
1077,798.16,450.07,2.05,26.02,0.93,79.99
1066,801.07,452.8,2.05,26.05,0.94,79.98
1073,800.93,450.4,2.05,26.05,0.93,80.0
1075,802.95,449.37,2.06,26.06,0.93,79.98
1091,796.61,445.92,2.04,26.01,0.92,79.99
1064,802.31,453.34,2.06,25.98,0.94,80.0
1081,797.11,449.0,2.04,25.99,0.93,79.99
1064,803.28,452.87,2.06,26.06,0.94,79.99
1083,801.27,447.3,2.05,26.03,0.92,79.98
1062,804.68,453.23,2.06,26.04,0.94,79.99
1086,800.58,446.42,2.05,26.0,0.92,79.99
1065,800.52,453.39,2.05,26.04,0.94,79.99
1090,801.16,444.88,2.05,26.02,0.92,80.0
1069,801.36,451.68,2.05,26.03,0.94,80.0
1065,806.78,451.45,2.06,26.03,0.94,79.99
1067,796.71,454.02,2.05,25.98,0.94,79.98
1067,804.44,451.16,2.06,26.06,0.94,79.99
1061,806.35,453.39,2.07,26.05,0.94,79.99
1094,801.78,442.97,2.05,26.03,0.91,80.0
1075,800.32,450.19,2.05,26.04,0.93,80.0
1068,798.2,453.01,2.05,25.96,0.94,80.0
1073,802.94,450.35,2.06,26.02,0.93,79.98
1065,804.46,452.57,2.06,26.02,0.94,80.0
1092,795.57,446.09,2.04,26.04,0.92,79.98
1074,804.47,449.25,2.06,26.01,0.93,79.98
1080,800.81,447.73,2.05,26.06,0.93,80.0
1086,797.88,447.56,2.04,25.99,0.92,79.98
1071,810.59,447.45,2.07,26.01,0.93,79.99
1081,797.55,448.92,2.04,26.05,0.93,80.0
1069,800.82,451.92,2.05,26.06,0.94,80.0
1085,803.83,445.17,2.05,25.94,0.92,80.0
1075,798.86,450.78,2.05,25.96,0.93,79.99
1075,806.52,448.1,2.06,25.99,0.93,79.99
1065,804.59,452.65,2.06,26.02,0.94,79.98
1081,806.43,445.92,2.06,26.03,0.93,80.0
1073,803.3,449.87,2.06,26.0,0.93,80.0
1091,796.82,445.4,2.04,26.0,0.92,79.99
1080,796.88,449.1,2.04,26.04,0.93,80.0
1086,801.6,446.08,2.05,26.05,0.92,79.98
1081,798.93,449.23,2.05,26.04,0.93,79.99
1075,802.08,449.31,2.05,26.05,0.93,79.99
1099,799.65,441.75,2.04,25.96,0.91,79.99
1074,799.58,450.74,2.05,26.03,0.93,79.98
1068,802.2,451.63,2.06,26.06,0.94,79.99
1074,800.64,450.29,2.05,26.04,0.93,79.99
1078,800.59,449.43,2.05,26.06,0.93,79.98
1082,800.84,447.6,2.05,26.0,0.92,80.0
1081,795.49,450.53,2.04,26.0,0.93,79.99
1091,800.61,444.83,2.05,26.08,0.92,79.99
1070,800.95,451.99,2.05,26.03,0.93,80.0
1070,800.14,451.39,2.05,26.03,0.93,79.99
1083,793.5,450.25,2.04,26.0,0.92,79.99
1077,803.44,448.29,2.06,26.0,0.93,79.99
1065,799.69,453.88,2.05,26.07,0.94,80.0
1077,805.34,447.58,2.06,26.06,0.93,79.99
1086,802.03,446.18,2.05,26.04,0.92,79.98
1089,797.8,446.57,2.04,26.0,0.92,79.99
1076,800.59,449.16,2.05,26.0,0.93,79.99
1072,797.02,452.23,2.05,26.08,0.93,79.99
1092,792.6,447.12,2.03,26.01,0.92,79.99
1075,798.73,451.07,2.05,26.04,0.93,79.98
1071,796.66,452.93,2.05,26.07,0.93,79.98
1080,801.29,448.03,2.05,26.02,0.93,79.99
1073,796.87,451.92,2.05,26.04,0.93,79.99
1069,796.77,453.52,2.05,26.02,0.94,79.98
1075,797.06,451.25,2.05,26.05,0.93,79.99
1082,792.79,449.94,2.04,25.99,0.92,80.0
1074,797.08,451.87,2.05,26.06,0.93,79.99
1084,796.82,448.65,2.04,26.04,0.92,79.99
1085,800.26,446.97,2.05,25.99,0.92,79.99
1085,798.78,447.28,2.04,26.02,0.92,79.98
1078,793.46,451.57,2.04,26.06,0.93,80.0
1075,800.96,450.46,2.05,26.07,0.93,79.98
1068,803.46,451.67,2.06,26.01,0.94,79.99
1073,802.6,450.56,2.06,26.03,0.93,79.98
1073,801.71,450.28,2.05,26.03,0.93,79.99
1083,791.3,450.74,2.03,25.99,0.92,80.0
1077,801.19,449.11,2.05,26.01,0.93,79.99
1083,804.36,445.56,2.05,26.01,0.92,79.99
1074,798.24,450.96,2.05,26.05,0.93,80.0
1076,799.75,449.89,2.05,26.01,0.93,79.99
1063,798.55,454.9,2.05,26.07,0.94,79.99
1073,796.1,452.18,2.04,26.06,0.93,79.99
1073,805.75,448.99,2.06,26.05,0.93,79.99
1066,805.87,451.49,2.06,26.04,0.94,79.98
1080,798.87,448.89,2.05,26.04,0.93,79.98
1071,804.68,450.09,2.06,25.99,0.93,79.98
1077,797.46,450.8,2.05,26.0,0.93,80.0
1079,795.3,450.24,2.04,26.01,0.93,79.99
1074,797.67,451.86,2.05,25.98,0.93,80.0
1078,799.92,449.04,2.05,26.06,0.93,79.99
1086,798.13,447.59,2.04,26.0,0.92,79.98
